6490685,NCT04627467,"",All,18 Years,N/A,Accepts Healthy Volunteers,"","
        Inclusion Criteria:

          -  Asymptomatic healthcare workers and contractors who work in Fundacion Valle del Lili

        Exclusion Criteria:

          -  To have two or more of the following symptoms 14 days previous to the initial
             assessment: cough, dyspnea, odynophagia, fatigue, weakness, fever >38 degrees °C

          -  History of close contact (less than two meters) with a person with probable or
             confirmed COVID-19 without adequate protection during the last 14 days

          -  History of one the following diseases in treatment at inclusion in the study: cardiac
             arrhythmias, epilepsy, kidney disease, seizures

          -  Treatment with concomitant medications: tamoxifen, quinine, cyclosporine, amiodarone,
             digoxine, anticonvulsivants

          -  Having recently taken chloroquine or hydroxychloroquine in the last two weeks

          -  Known hypersensitivity to chloroquine or hydroxychloroquine
      ","",
6490686,NCT04627454,"",All,N/A,N/A,No,"","
        Inclusion Criteria:

          -  Patients with single level cervical disc herniation ( C3 - C7 ).

          -  Patients with cervical canal stenosis.

          -  Patients with degenerative disc disease.

          -  Patient with cervical disc disease not responding to medical treatment.

          -  Age of the patient: any age.

          -  Patients fit for surgery.

        Exclusion Criteria:

          -  Patients with multilevel cervical disc herniation.

          -  Patients with segmental instability.

          -  Patients with previous cervical spine surgery.

          -  Patients with cervical kyphosis, active infection or known allergy to titanium.
      ","",
6490688,NCT04627428,"",All,55 Years,N/A,No,"","
        Inclusion Criteria:

          1. Clinical diagnosis of dry AMD.

          2. Ability to understand and give informed consent.

          3. Adult male or female >55 years of age.

          4. Medically suitable to undergo vitrectomy and subretinal injection (>60% on Karnofsky
             scale).

          5. Postmenopausal if female (expected to be common for the age limitation), or the female
             partner of a male subject unable to father children.

          6. If male, willing to use barrier and spermicidal contraception during the study.

        Exclusion Criteria:

          1. Allergy or hypersensitivity to dilation drops or fluorescein.

          2. Active major medical conditions limiting ability to participate in the study.

          3. Active malignancy or treatment with chemotherapy.

          4. Systemic immunosuppressant therapy within past six months.

          5. History of toxoplasmosis, retinal histoplasmosis or tuberculosis.

          6. Receipt of investigational product (IP) in a clinical trial within prior six months.

          7. Any other medical condition, which, in the Investigator's judgment, will interfere
             with the subject's ability to comply with the protocol, compromises subject safety, or
             interferes with the interpretation of the study results.

          8. Pregnant or nursing females.
      ","",
6490689,NCT04627415,"",All,3 Years,5 Years,Accepts Healthy Volunteers,"","
        Inclusion Criteria:

          -  3- to 5.11-year old children with clinically significant symptoms of ADHD.

          -  Children had to have met DSM-5 criteria for one of the three presentations of ADHD
             based on clinical interview and parent and teacher behavior ratings, including parent
             and teacher report of elevated levels of impairment at home and school (i.e., score
             greater than 90th percentile on one or more Conners Early Childhood Rating Scale
             subscales relevant to ADHD).

        Exclusion Criteria:

          -  A diagnoses of autism spectrum disorder (ASD), pervasive developmental disorder,
             intellectual disability, neurological damage, or significant motor or physical
             impairments.

          -  Children needed to be enrolled in a pre-school or day care setting at least 2 days a
             week unless otherwise unable to enroll (e.g. behavioral problems, lack of services for
             unrelated disability) in order to establish the presence of symptoms across two
             settings.
      ","",
6490829,NCT04625595,"",All,18 Years,45 Years,No,"","
        Inclusion Criteria:

          1. Signed the ICF as described in Appendix 3 which includes compliance with the
             requirements and restrictions listed in the ICF and in this protocol.

          2. Man or woman, 18 to 45 years of age inclusive at the time of signing the ICF.

          3. Has received a diagnosis of T1D according to the criteria from the American Diabetes
             Association.

          4. Positive for at least one gene encoding for HLA-DQ8 (DQB*0302).

          5. If male, and of reproductive potential, willing to use medically acceptable birth
             control (Appendix 5), unless the female partner is postmenopausal or surgically
             sterile, until study completion and for at least 30 days after the last dose of study
             treatment and refrain from donating sperm during this period.

          6. If female: (a) surgically sterile or (b) postmenopausal or (c) if of reproductive
             potential, willing to use medically acceptable birth control (eg, female hormonal
             contraception, barrier methods or sterilization (Appendix 5) until study completion
             and for at least 30 days (one menstrual cycle).

        Exclusion Criteria:

          1. Inability or unwillingness of a subject to give written informed consent or comply
             with the study protocol.

          2. No HLA-DQ8 gene (DQB*03:02).

          3. Any of the following hematologic abnormalities at the time of screening, confirmed by
             repeat tests:

               1. Leukopenia (<3,000 leukocytes/μL)

               2. Neutropenia (<1,500 neutrophils/μL)

               3. Thrombocytopenia (<125,000 platelets/μL)

               4. Hemoglobin less than 10 g/dl

          4. Evidence of liver dysfunction, with ALT > 2.5 times the upper limit of normal (ULN) or
             AST >3.0 times ULN persistent for 1 week or greater.

          5. Evidence of renal insufficiency as indicated by serum creatinine of >1.5 times ULN,
             confirmed by a repeat test.

          6. Clinically significant abnormal physical examination, vital signs, or 12-lead ECG at
             screening as deemed appropriate by the investigator.

          7. Has a history of or current clinically significant medical illness including, but not
             limited to, cardiac arrhythmias or other cardiac disease; significant pulmonary
             disease; neurologic or psychiatric disease; infection; or any other illness that the
             investigator considers should exclude the subject or that could interfere with the
             interpretation of the study results.

          8. Body mass index (BMI) > 32 kg/m2.

          9. Unstable blood sugar control defined as one or more episodes of severe hypoglycemia
             (defined as hypoglycemia that required the assistance of another person) within the
             last 30 days.

         10. Use of a treatment that is known to cause a significant, ongoing change in the course
             of T1D or immunologic status, within 4 weeks prior to participation; this includes
             high-dose inhaled, extensive topical or systemic glucocorticoids.

         11. History of any organ transplant, including islet cell transplant.

         12. Pregnant or anticipates pregnancy during the 2-week study period or within 30 days
             following the last dose of study drug.

         13. Use of investigational drugs within 90 days of participation.

         14. Currently taking methyldopa (Aldomet) at the time of randomization or taken within the
             past 3 months.

         15. Currently taking ferrous sulfate or ferrous gluconate, which are indicated for the
             treatment of anemia (hematological disease), or taken within the past 30 days.

         16. Unable to avoid medications that affect stomach pH, such as proton pump inhibitors or
             histamine H2 receptor blockers.

         17. Past or current medical problems or findings from physical examination or laboratory
             testing that are not listed above, which, in the opinion of the Investigator, may pose
             additional risks from participation in the study, may interfere with the subject's
             ability to comply with study requirements, or that may impact the quality or
             interpretation of the data obtained from the study.

         18. Has a history of the human immunodeficiency virus (HIV) antibody positive, or tests
             positive for HIV; has a history of hepatitis B surface antigen (HBsAg) or hepatitis C
             antibody (anti-HCV) positive, or another clinically active liver disease, or tests
             positive for HBsAg or anti-HCV at Screening.

         19. Has a known psychiatric or substance abuse disorder that would interfere with the
             subject's ability to cooperate with the requirements of the study.

         20. Has preplanned surgery or procedures that would interfere with the conduct of the
             study.

         21. Is an employee of the Investigator or study site, with direct involvement in the
             proposed study or other studies under the direction of that Investigator or study
             site, as well as family members of the employees or the Investigator.
      ","",
6490690,NCT04627402,"",All,18 Years,N/A,No,"","
        Inclusion Criteria:

          -  Type II diabetes

          -  Vison decrease was mainly caused by diabetic macular edema (DME)

          -  BCVA of 20/800 to 20/40 (decimal)

          -  Central subfield retinal thickness (CST) ≥ 300μm by optical coherence tomography (OCT)
             in the study eye

          -  Pan-retinal photocoagulation finished at least 3 months ago, or no pan-retinal
             photocoagulation is expected in the next 6 months

          -  Within the last 3 months, one intravitreous injection of anti-VEGF agent was
             performed, the CST reduction one month after injection was ≤ 20%.

        Exclusion Criteria:

          -  Non-DME related macular edema, or edema control would not benefit the vision (for
             example, macular atrophy)

          -  Exist of other reasons of macular edema, retinal vein occlusion, uveitis, iris
             rubeosis, high myopia

          -  Ocular media opacity of insufficient quality to obtain OCT images and fundus images in
             the study eye

          -  Intraocular or periorbital injection of steroids within the last 3 months

          -  Macular grid photocoagulation within the last 4 months

          -  History of vitrectomy

          -  History of scleral buckle within the last 4 months, or intraocular surgery is expected
             in the next 6 months

          -  Any sign of ocular infection, including conjunctivitis, hordeolum, dacryocystitis

          -  Myocardial infarction, heart failure, stroke, or transient ischemic attack within one
             month

          -  Pregnant or breastfeeding women

          -  Uncontrolled hypertension, or blood pressure >180/110

          -  Patients with uncontrolled hyperglycemia, or Hemoglobin A1C (HbA1c) ≥10.0%, or under
             hemodialysis , or started insulin usage within the last 4 months, or expected to start
             insulin use for hyperglycemia control in the next 4 months

          -  Those cannot follow visits on time
      ","",
6490691,NCT04627389,"",All,3 Months,6 Months,No,"","
        Inclusion Criteria:

          -  non-syndromic cleft lip patients.

          -  Primary, unilateral, complete or incomplete cleft lip.

          -  The patient's age is younger than six months.

          -  lip repair performed by one craniofacial surgeon

        Exclusion Criteria

          -  syndromic cleft lip.

          -  Secondary lip treatment (previously operated cases)

          -  Bilateral cleft lip

          -  Patients are older than six months. Associated Cardiac anomalies. Any systemic
             condition
      ","",
6490692,NCT04627376,"",All,18 Years,N/A,No,"","
        Inclusion Criteria:

          1. 18 years old or older

          2. Participants must be diagnosed with solid tumour (stomach, colorectal, pancreas,
             breast, lung)

          3. Participants needing chemotherapy/immunotherapy/hormone therapy/target therapy

          4. Participants must be normal or pre cachectic as defined by the guidelines

          5. Read and understand Greek or English

        Exclusion Criteria:

          1. Haematologic tumors

          2. Parenteral Nutrition

          3. ECOG Performance status >2 or Karnofsky Performance Status <60%

          4. Participant who can not introduce a family caregiver

          5. Participants in cachexia or refractory cachexia stage as defined by the guidelines
             below:

               -  >5% weight loss over the past 6 months (in absence of simple starvation); OR

               -  BMI <20 and any degree of weight loss >2%; OR

               -  Appendicular skeletal muscle index consistent with sarcopenia (whole body
                  fat-free mass index without bone determined by bioelectrical impedance (men <14.6
                  kg/m²; women <11.4 kg/m²) and weight loss >2%

          6. Patients who use complementary therapies (ex-acupuncture)
      ","",
6490693,NCT04627363,"",All,18 Years,75 Years,No,"","
        Inclusion Criteria:

          1. HCC diagnosed by histopathological examination or Guidelines for Diagnosis and
             Treatment of Primary Liver Cancer or the recurrent HCC after surgery;

          2. age between 18 and 75 years;

          3. Stage B (middle stage) or C (late stage) HCC determined in accordance with Barcelona
             Clinic Liver Cancer staging system (BCLC stage). In case of stage B.

          4. No previous use of any systemic therapy or recurrent HCC.

          5. Child-Pugh class A or B;

          6. Eastern Cooperative Group performance status (ECOG) score of 0-2;

          7. Hemoglobin ≥ 8.5 g/dL Total bilirubin ≤ 30mmol/L Serum albumin ≥ 32 g/L ASL and AST ≤
             5 x upper limit of normal Serum creatinine ≤ 1.5 x upper limit of normal INR ≤ 1.5 or
             PT/APTT within normal limits Absolute neutrophil count (ANC) >1,500/mm3

          8. Prothrombin time ≤18s or international normalized ratio < 1.7.

          9. Ability to understand the protocol and to agree to and sign a written informed consent
             document.

        Exclusion Criteria:

          1. Cholangiocellular carcinoma (ICC);

          2. Patients with cancer thrombus in the main trunk of portal vein (Vp4), or cancer
             thrombus in inferior vena cava should be excluded;

          3. Accepting ablation or surgery or other system therapy as firt line therapy after
             diagnose for primary HCC, ablation or system therapy as first line therapy for
             recurrent HCC.

          4. Serious medical comorbidities.

          5. Evidence of hepatic decompensation including ascites, gastrointestinal bleeding or
             hepatic encephalopathy

          6. Known history of HIV

          7. History of organ allograft

          8. Known or suspected allergy to the investigational agents or any agent given in
             association with this trial.

          9. Cardiac ventricular arrhythmias requiring anti-arrhythmic therapy

         10. Evidence of bleeding diathesis.

         11. Patients with clinically significant gastrointestinal bleeding within 30 days prior to
             study entry.
      ","",
6490694,NCT04627350,Non-Probability Sample,All,55 Years,74 Years,Accepts Healthy Volunteers,Defined by eligibility criteria,"
        Inclusion Criteria:

          -  Age 55-74 years

          -  Smoking: >= 30 pack-years, smoker or ex-smoker <15 years

          -  Performance status (0-1) - can climb at least one floor without any difficulty or
             pause

        Exclusion Criteria:

          -  Body weight above 140 kg

          -  Malignant disease within the last 10 years (except non-melanoma skin cancer).

          -  Chest CT less than one year ago

          -  Clinical signs suspicious of lung cancer (weight loss, new cough, hemoptysis)
      ","",
